id;title;title_search;isbn;publisher;published_year;is_verified;verify_url;view_authors;front_image_link;back_image_link;pages_number;language;description;created_by;created_date;last_modified_by;last_modified_date
da07a04b-edcc-49d2-af25-1ec000beb464;on likewise populist;surprisingly hmph;briskly;wilderness fooey;26922;true;coordinated wombat;scornful;communicate couch;harvest expatiate;9202;scarily;satisfy out when;whoa cow;2025-06-16T00:52:51;scorpion;2025-06-16T15:15:25
0fa43b32-865a-4c3d-b10e-978d57f6ddae;considering chasuble around;loose splay;allegation vista;ready pleasure ick;6987;false;calculus sparkling coin;fortunate violently oof;eggplant;vibraphone;9474;queasily the however;insist summer;sidetrack;2025-06-15T20:54:46;worth deserted possible;2025-06-16T06:14:13
07a9b969-4611-4835-9c13-a17111a45a9e;physically incandescence;kissingly before;digestive since incomplete;little massive blah;28041;true;potentially vivaciously;gnaw unless mmm;how;ugh lowball;930;official;following jacket;especially;2025-06-16T04:56:29;shy fond;2025-06-15T23:31:45
f9459bb4-5bdb-4995-937a-5f3e330fbb2b;than;jive elegantly puritan;given arrogantly whenever;hm definite ferociously;10679;false;vulgarise atop;correctly slowly platter;if soliloquy;anti upon tensely;13558;aha;yet;whisper;2025-06-16T00:46:29;aha;2025-06-16T12:07:38
629ee881-e6f8-43d9-95b3-a805ef0c02f5;ouch excitedly flimsy;next;woot;along schematise plumber;15115;true;warmly incidentally;through overcook;throughout brr;sand ick dental;18898;chap;eventually miserly;victoriously clone per;2025-06-16T10:06:16;yippee thrifty overcharge;2025-06-16T05:14:46
1ebc1f90-7db9-4ab4-9409-702e5fa08660;preside;supportive;unbalance unlike whenever;when;11124;true;above;boyfriend oof wolf;beneath long-term;oh;21835;provider;or;yum;2025-06-15T22:11:15;unlike emphasise writhing;2025-06-16T08:54:30
4affc91e-ed28-42cd-ad39-95faa9cc5b0e;verve;upright;hmph weighty;pick;27985;false;warmly potentially youthfully;modulo;wetly so;abandoned;15334;quarrel plus;why drat;yowza ouch;2025-06-16T10:40:37;um vibration upright;2025-06-16T09:59:20
917a520d-b3a8-42b8-8c71-cff660c7a54a;shrilly;supposing;excepting;supposing that only;16805;false;across annual;bar majestically whoever;quirkily realistic;furthermore shipper;20788;before astride;thyme;who actually mash;2025-06-15T21:01:14;dishonor complication freezing;2025-06-16T16:38:30
16e32a2a-bb08-4480-bb9e-94467f7d51a8;for silky angrily;zealous;switchboard drum aboard;badly hasty;20292;false;chilly;grim mobility agitated;longingly bah;loudly every;20660;potentially mysteriously;refine shoot;outrank;2025-06-16T04:11:10;mid;2025-06-16T17:47:43
788c9aad-9e6d-4247-97af-d402af9e8ec8;pfft stabilise;meanwhile;trusting irritably;loftily;19060;false;major;boo sheepishly;so hmph;astride;18829;joy;scenario hubris;moist;2025-06-16T04:47:14;so;2025-06-16T18:56:51
